,date,no1,no2,no3,no4,no5,no6,no7,singular,plural,l10,l20,l30,l40,l50
0,2022-08-18,2,8,19,21,24,47,4,3,3,2,1,2,0,1
1,2022-08-16,7,20,31,35,41,47,42,5,1,1,1,0,2,2
2,2022-08-13,6,22,25,33,38,47,10,3,3,1,0,2,2,1
3,2022-08-11,7,12,22,26,43,49,5,3,3,1,1,2,0,2
4,2022-08-09,1,12,25,28,36,46,13,2,4,1,1,2,1,1
5,2022-08-04,13,24,30,35,36,39,29,3,3,0,1,2,3,0
6,2022-08-02,4,8,9,11,42,46,47,2,4,3,1,0,0,2
7,2022-07-30,21,25,34,37,41,46,14,4,2,0,0,2,2,2
8,2022-07-28,8,13,16,21,23,49,44,4,2,1,2,2,0,1
9,2022-07-26,6,14,23,31,38,48,1,2,4,1,1,1,2,1
10,2022-07-22,5,12,21,30,34,38,3,2,4,1,1,2,2,0
11,2022-07-15,19,20,25,29,46,47,35,4,2,0,2,2,0,2
12,2022-07-12,4,13,22,27,43,47,23,4,2,1,1,2,0,2
13,2022-07-08,7,10,28,30,32,36,27,1,5,2,0,2,2,0
14,2022-07-05,9,30,31,32,37,40,25,3,3,1,0,1,4,0
15,2022-07-03,19,21,23,26,37,39,13,5,1,0,1,3,2,0
16,2022-06-27,1,13,19,26,29,37,15,5,1,1,2,2,1,0
17,2022-06-21,2,15,20,30,47,48,44,2,4,1,2,1,0,2
18,2022-06-17,9,17,24,27,33,39,48,5,1,1,1,2,2,0
19,2022-06-14,7,16,21,30,34,38,41,2,4,1,1,2,2,0
20,2022-06-10,11,17,24,26,37,41,34,4,2,0,2,2,1,1
21,2022-06-07,9,16,21,35,47,48,36,4,2,1,1,1,1,2
22,2022-06-03,1,27,32,35,38,44,24,3,3,1,0,1,3,1
23,2022-05-31,2,13,35,39,43,48,9,4,2,1,1,0,2,2
24,2022-05-27,1,17,25,29,42,46,8,4,2,1,1,2,0,2
25,2022-05-24,5,7,8,17,47,49,34,5,1,3,1,0,0,2
26,2022-05-20,27,30,36,38,45,46,34,2,4,0,0,2,2,2
27,2022-05-17,4,7,29,35,40,46,17,3,3,2,0,1,2,1
28,2022-05-13,1,5,10,22,30,34,42,2,4,3,0,2,1,0
29,2022-05-10,12,14,19,39,41,48,33,3,3,0,3,0,1,2
30,2022-05-06,2,15,41,42,44,46,40,2,4,1,1,0,0,4
31,2022-05-03,3,8,11,15,18,40,41,3,3,2,3,0,1,0
32,2022-04-29,1,7,16,28,31,48,18,3,3,2,1,1,1,1
33,2022-04-26,9,23,30,32,34,40,25,2,4,1,0,2,3,0
34,2022-04-22,8,11,15,19,34,37,25,4,2,1,3,0,2,0
35,2022-04-19,12,23,28,34,39,46,44,2,4,0,1,2,2,1
36,2022-04-15,21,25,30,36,37,47,42,4,2,0,0,3,2,1
37,2022-04-12,8,11,12,20,26,30,28,1,5,1,3,2,0,0
38,2022-04-08,10,20,36,38,43,48,30,1,5,1,1,0,2,2
39,2022-04-05,9,11,12,22,29,42,3,3,3,1,2,2,0,1
40,2022-04-01,4,8,21,40,46,49,34,2,4,2,0,1,1,2
41,2022-03-29,8,18,21,35,37,38,10,3,3,1,1,1,3,0
42,2022-03-25,15,20,26,28,29,46,12,2,4,0,2,3,0,1
43,2022-03-22,6,28,32,33,40,45,1,2,4,1,0,1,3,1
44,2022-03-18,12,18,22,30,40,49,15,1,5,0,2,2,1,1
45,2022-03-15,3,10,12,28,39,48,17,2,4,2,1,1,1,1
46,2022-03-11,11,20,23,29,38,47,12,4,2,0,2,2,1,1
